Site,Latitude,Longitude,Reader
SRSC1,44.874102,-113.628846,1
SRSC1.1,44.874225,-113.628803,2
SRSC2,44.876775,-113.629752,3
HRSC1,44.897006,-113.625023,4
HRSC1.1,44.897099,-113.62515,5
HRSC2,44.897393,-113.624956,6
HRSC2.1,44.897447,-113.625093,7
HRSC3,44.89898,-113.626358,8
HRSC3.1,44.899119,-113.626304,9
HRSC4,44.899089,-113.626735,10
HRSC4.1,44.899195,-113.626618,11
HRSC5,44.899165,-113.627179,12
HRSC5.1,44.89933,-113.627334,13
HRSC6.2,44.899892,-113.627964,14
HRSC6.1,44.899987,-113.627642,15
HRSC6,44.899907,-113.627693,16
HRSC7,44.89995,-113.626883,17
HRSC8,44.900218,-113.626574,18
