site,tag,detected,reader,antenna
0HR,3DD.003DE66835,9/27/2022 23:56,1,1
0HR,3E7.0000001D03,9/27/2022 23:37,1,3
0HR,3E7.0000001D02,9/27/2022 23:37,1,2
0HR,3E7.0000001D01,9/27/2022 23:37,1,1
0HR,3DD.003DE66835,9/27/2022 23:01,1,1
0HR,3E7.0000001D03,9/27/2022 22:37,1,3
0HR,3E7.0000001D02,9/27/2022 22:37,1,2
0HR,3E7.0000001D01,9/27/2022 22:37,1,1
0HR,3DD.003DE66CE5,9/27/2022 22:10,1,2
0HR,3DD.003DE6625F,9/27/2022 21:47,1,2
0HR,3E7.0000001D02,9/27/2022 21:37,1,2
0HR,3E7.0000001D01,9/27/2022 21:37,1,1
0HR,3E7.0000001D03,9/27/2022 21:37,1,3
0HR,3DD.003E04B8E8,9/27/2022 21:31,1,2
0HR,3DD.003E215166,9/27/2022 21:30,1,2
0HR,3DD.003D7FEF0B,9/27/2022 21:22,1,3
0HR,3E7.0000001D01,9/27/2022 20:37,1,1
0HR,3E7.0000001D03,9/27/2022 20:37,1,3
0HR,3E7.0000001D02,9/27/2022 20:37,1,2
0HR,3E7.0000001D01,9/27/2022 19:37,1,1
0HR,3E7.0000001D03,9/27/2022 19:37,1,3
0HR,3E7.0000001D02,9/27/2022 19:37,1,2
0HR,3DD.003DE6629D,9/27/2022 19:35,1,2
0HR,3DD.003DE66833,9/27/2022 19:06,1,2
0HR,3E7.0000001D02,9/27/2022 18:37,1,2
0HR,3E7.0000001D01,9/27/2022 18:37,1,1
0HR,3E7.0000001D03,9/27/2022 18:37,1,3
0HR,3DD.003DE66B3D,9/27/2022 17:49,1,1
0HR,3E7.0000001D01,9/27/2022 17:37,1,1
0HR,3E7.0000001D03,9/27/2022 17:37,1,3
0HR,3E7.0000001D02,9/27/2022 17:37,1,2
0HR,3E7.0000001D02,9/27/2022 16:37,1,2
0HR,3E7.0000001D01,9/27/2022 16:37,1,1
0HR,3E7.0000001D03,9/27/2022 16:37,1,3
0HR,3DD.003DE66B3D,9/27/2022 15:47,1,3
0HR,3E7.0000001D03,9/27/2022 15:37,1,3
0HR,3E7.0000001D02,9/27/2022 15:37,1,2
0HR,3E7.0000001D01,9/27/2022 15:37,1,1
0HR,3DD.003DE66B3D,9/27/2022 14:59,1,2
0HR,3E7.0000001D02,9/27/2022 14:37,1,2
0HR,3E7.0000001D01,9/27/2022 14:37,1,1
0HR,3E7.0000001D03,9/27/2022 14:37,1,3
0HR,3E7.0000001D01,9/27/2022 13:37,1,1
0HR,3E7.0000001D03,9/27/2022 13:37,1,3
0HR,3E7.0000001D02,9/27/2022 13:37,1,2
0HR,3E7.0000001D03,9/27/2022 12:37,1,3
0HR,3E7.0000001D02,9/27/2022 12:37,1,2
0HR,3E7.0000001D01,9/27/2022 12:37,1,1
0HR,3E7.0000001D02,9/27/2022 11:37,1,2
0HR,3E7.0000001D01,9/27/2022 11:37,1,1
0HR,3E7.0000001D03,9/27/2022 11:37,1,3
0HR,3E7.0000001D01,9/27/2022 10:37,1,1
0HR,3E7.0000001D03,9/27/2022 10:37,1,3
0HR,3E7.0000001D02,9/27/2022 10:37,1,2
0HR,3E7.0000001D02,9/27/2022 9:37,1,2
0HR,3E7.0000001D01,9/27/2022 9:37,1,1
0HR,3E7.0000001D03,9/27/2022 9:37,1,3
0HR,3E7.0000001D03,9/27/2022 8:37,1,3
0HR,3E7.0000001D02,9/27/2022 8:37,1,2
0HR,3E7.0000001D01,9/27/2022 8:37,1,1
0HR,3E7.0000001D02,9/27/2022 7:37,1,2
0HR,3E7.0000001D01,9/27/2022 7:37,1,1
0HR,3E7.0000001D03,9/27/2022 7:37,1,3
0HR,3E7.0000001D02,9/27/2022 6:37,1,2
0HR,3E7.0000001D01,9/27/2022 6:37,1,1
0HR,3E7.0000001D03,9/27/2022 6:37,1,3
0HR,3E7.0000001D02,9/27/2022 5:37,1,2
0HR,3E7.0000001D01,9/27/2022 5:37,1,1
0HR,3E7.0000001D03,9/27/2022 5:37,1,3
0HR,3E7.0000001D02,9/27/2022 4:37,1,2
0HR,3E7.0000001D01,9/27/2022 4:37,1,1
0HR,3E7.0000001D03,9/27/2022 4:37,1,3
0HR,3DD.003E2154A6,9/27/2022 3:46,1,3
0HR,3DD.003DE66282,9/27/2022 3:41,1,2
0HR,3E7.0000001D02,9/27/2022 3:37,1,2
0HR,3E7.0000001D01,9/27/2022 3:37,1,1
0HR,3E7.0000001D03,9/27/2022 3:37,1,3
0HR,3E7.0000001D02,9/27/2022 2:37,1,2
0HR,3E7.0000001D01,9/27/2022 2:37,1,1
0HR,3E7.0000001D03,9/27/2022 2:37,1,3
0HR,3E7.0000001D03,9/27/2022 1:37,1,3
0HR,3E7.0000001D02,9/27/2022 1:37,1,2
0HR,3E7.0000001D01,9/27/2022 1:37,1,1
0HR,3DD.003DE6627A,9/27/2022 0:53,1,2
0HR,3DD.003E2154A6,9/27/2022 0:40,1,3
0HR,3E7.0000001D03,9/27/2022 0:37,1,3
0HR,3E7.0000001D02,9/27/2022 0:37,1,2
0HR,3E7.0000001D01,9/27/2022 0:37,1,1
0HR,3DD.003E2154A6,9/27/2022 0:29,1,3
0HR,3DD.003E2154A6,9/27/2022 0:29,1,2
0HR,3E7.0000001D03,9/26/2022 23:37,1,3
0HR,3E7.0000001D02,9/26/2022 23:37,1,2
0HR,3E7.0000001D01,9/26/2022 23:37,1,1
0HR,3DD.003E2154A6,9/26/2022 23:06,1,3
0HR,3DD.003DE66909,9/26/2022 22:37,1,3
0HR,3E7.0000001D01,9/26/2022 22:37,1,1
0HR,3E7.0000001D03,9/26/2022 22:37,1,3
0HR,3E7.0000001D02,9/26/2022 22:37,1,2
0HR,3DD.003DE6684B,9/26/2022 22:06,1,2
0HR,3E7.0000001D02,9/26/2022 21:37,1,2
0HR,3E7.0000001D01,9/26/2022 21:37,1,1
0HR,3E7.0000001D03,9/26/2022 21:37,1,3
0HR,3DD.003E2153CB,9/26/2022 21:00,1,3
0HR,3E7.0000001D02,9/26/2022 20:37,1,2
0HR,3E7.0000001D01,9/26/2022 20:37,1,1
0HR,3E7.0000001D03,9/26/2022 20:37,1,3
0HR,3DD.003E21539B,9/26/2022 20:33,1,1
0HR,3DD.003DE66908,9/26/2022 20:28,1,1
0HR,3DD.003DE6691A,9/26/2022 20:15,1,2
