parent,child,parentOrder,parent_group,child_group
HRSC6,HRSC3,1,HRSC-OUT,HRSC-MID
HRSC7,HRSC3,1,HRSC-OUT,HRSC-MID
HRSC8,HRSC3,1,HRSC-OUT,HRSC-MID
HRSC6,HRSC4,1,HRSC-OUT,HRSC-MID
HRSC7,HRSC4,1,HRSC-OUT,HRSC-MID
HRSC8,HRSC4,1,HRSC-OUT,HRSC-MID
HRSC6,HRSC5,1,HRSC-OUT,HRSC-MID
HRSC7,HRSC5,1,HRSC-OUT,HRSC-MID
HRSC8,HRSC5,1,HRSC-OUT,HRSC-MID
HRSC3,HRSC1,2,HRSC-MID,HRSC-UP
HRSC4,HRSC1,2,HRSC-MID,HRSC-UP
HRSC5,HRSC1,2,HRSC-MID,HRSC-UP
HRSC3,HRSC2,2,HRSC-MID,HRSC-UP
HRSC4,HRSC2,2,HRSC-MID,HRSC-UP
HRSC5,HRSC2,2,HRSC-MID,HRSC-UP
HRSC1,Henrys Reach,3,HRSC-UP,Henrys Reach
HRSC2,Henrys Reach,3,HRSC-UP,Henrys Reach
Henrys Reach,SRSC2,4,Henrys Reach,SRSC2
SRSC2,SRSC1,4,SRSC2,SRSC1
