site_code,ptagis_code,site_name,site_type,reader_id,array_type,lat,lon,active,notes
HYC,HYC,Hayden Creek Instream Array,array,NA,tandem,44.8616,-113.632,TRUE,
LRW,LRW,Lemhi River Weir,array,NA,tandem,44.866,-113.625,TRUE,
0HR,NA,Henrys Ranch,array,NA,single,44.89698,-113.62476,TRUE,"Henry's Reach upper mainstem array; Installed July 28, 2022"
0LL,NA,SRSC1,litz_cord,1,NA,44.8741,-113.62885,TRUE,Split River Ranch inlet
0LL,NA,SRSC1.1,litz_cord,2,NA,44.87423,-113.6288,TRUE,Split River Ranch inlet
0LL,NA,SRSC2,litz_cord,3,NA,44.87678,-113.62975,TRUE,Split River Ranch outlet
0LL,NA,HRSC1,litz_cord,4,NA,44.89701,-113.62502,TRUE,Henry's Reach upper large side channel
0LL,NA,HRSC1.1,litz_cord,5,NA,44.8971,-113.62515,TRUE,Henry's Reach upper large side channel
0LL,NA,HRSC2,litz_cord,6,NA,44.89739,-113.62496,TRUE,Henry's Reach upper LSC seasonal channel
0LL,NA,HRSC2.1,litz_cord,7,NA,44.89745,-113.62509,TRUE,Henry's Reach upper LSC seasonal channel
0LL,NA,HRSC3,litz_cord,8,NA,44.89898,-113.62636,TRUE,Henry's Reach lower small side channel complex inlet
0LL,NA,HRSC3.1,litz_cord,9,NA,44.89912,-113.6263,TRUE,Henry's Reach lower small side channel complex inlet
0LL,NA,HRSC4,litz_cord,10,NA,44.89909,-113.62674,TRUE,Henry's Reach lower small side channel complex inlet
0LL,NA,HRSC4.1,litz_cord,11,NA,44.8992,-113.62662,TRUE,Henry's Reach lower small side channel complex inlet
0LL,NA,HRSC5,litz_cord,12,NA,44.89917,-113.62718,TRUE,Henry's Reach lower small side channel complex inlet
0LL,NA,HRSC5.1,litz_cord,13,NA,44.89933,-113.62733,TRUE,Henry's Reach lower small side channel complex inlet
0LL,NA,HRSC6.2,litz_cord,14,NA,44.89989,-113.62796,TRUE,Henry's Reach lower small side channel complex outlet
0LL,NA,HRSC6.1,litz_cord,15,NA,44.89999,-113.62764,TRUE,Henry's Reach lower small side channel complex outlet
0LL,NA,HRSC6,litz_cord,16,NA,44.89991,-113.62769,TRUE,Henry's Reach lower small side channel complex outlet
0LL,NA,HRSC7,litz_cord,17,NA,44.89995,-113.62688,TRUE,Henry's Reach lower small side channel complex outlet
0LL,NA,HRSC8,litz_cord,18,NA,44.90022,-113.62657,TRUE,Henry's Reach lower small side channel complex outlet
EVU,EVU,Eagle Valley Ranch - Upper,array,NA,tandem,45.09909,-113.72537,TRUE,Relocated approximately 100yds upstream in 2021 to be upstream of restoration work
S2I,S2I,Lemhi Sub-Reach 2 SC Inlet,array,NA,single,45.1095,-113.743,FALSE,Inactive; inflatable array
S2O,S2O,Lemhi Sub-Reach 2 SC Outlet,array,NA,single,45.1113,-113.746,FALSE,Inactive; inflatable array
BHC,BHC,Bohannon Creek Lemhi R Basin,array,NA,tandem,45.1122,-113.747,TRUE,
S3B,S3B,Eagle Valley Ranch S3B,array,NA,single,45.1128,-113.75,FALSE,"Inactive; inflatable array; decommissioned approximately February 21, 2022"
S3A,S3A,Eagle Valley Ranch S3A,array,NA,single,45.1132,-113.756,TRUE,Floater skid array
EVL,EVL,Eagle Valley Ranch - Lower,array,NA,tandem,45.1151,-113.774,TRUE,
LLRTP,LLRTP,Lower Lemhi River Rotary Screw Trap,screw_trap,NA,NA,45.15954,-113.83305,TRUE,
LLR,LLR,Lower Lemhi River,array,NA,tandem,45.1765,-113.885,TRUE,
