"Tag Code","Mark File Name","Mark Date MMDDYYYY","Mark Site Name","Release Date MMDDYYYY","Release Site Name","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Recap Date MMDDYYYY","Recap File Name","Recap Release Date MMDDYYYY","Recap Release Site Name","Recap Site Name","Recap Species Code","Recap Species Name","Recap Run Code","Recap Run Name","Recap Rear Type Code","Recap Rear Type Name","Recap Length mm","Recap Weight g","Recap Count"
"384.1B7971BB7B","QCI18261.HFA","9/18/2018","HAYDNC - Hayden Creek, Lemhi River Basin","9/18/2018","HAYDNC - Hayden Creek, Lemhi River Basin","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/4/2020","ILR-2020-125-HYD.xml","5/4/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","175","58.6","1"
"384.1B7971BB7B","QCI18261.HFA","9/18/2018","HAYDNC - Hayden Creek, Lemhi River Basin","9/18/2018","HAYDNC - Hayden Creek, Lemhi River Basin","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/14/2020","ILR-2020-135-LLR.xml","5/14/2020","LLRTP - Lower Lemhi River Rotary Screw Trap","LLRTP - Lower Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","189","67","1"
"384.1B7971C0BE","QCI18261.HFA","9/18/2018","HAYDNC - Hayden Creek, Lemhi River Basin","9/18/2018","HAYDNC - Hayden Creek, Lemhi River Basin","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","10/16/2021","ILR-2021-289-LEM.xml","10/16/2021","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","290","214.1","1"
"384.1B7971C449","QCI-2018-259-HFA.xml","9/16/2018","HAYDNC - Hayden Creek, Lemhi River Basin","9/16/2018","HAYDNC - Hayden Creek, Lemhi River Basin","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/2/2021","ILR-2021-122-HYD.xml","5/2/2021","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","179","53.6","1"
"384.1B7971C44D","QCI-2019-227-LFA.xml","8/15/2019","LEMHIR - Lemhi River","8/15/2019","LEMHIR - Lemhi River","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","9/16/2020","ILR-2020-260-LLR.xml","9/16/2020","LLRTP - Lower Lemhi River Rotary Screw Trap","LLRTP - Lower Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","198","76.9","1"
"384.1B7971CA1B","QCI18261.HFA","9/18/2018","HAYDNC - Hayden Creek, Lemhi River Basin","9/18/2018","HAYDNC - Hayden Creek, Lemhi River Basin","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/2/2020","ILR-2020-123-HYD.xml","5/2/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","149","37.3","1"
"384.1B7972F21A","ILR-2022-138-LEM.xml","5/18/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","5/18/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/19/2022","ILR-2022-139-LEM.xml","5/19/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","71","4.4","1"
"384.1B7972FB92","ILR-2022-130-HYD.xml","5/10/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/10/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/11/2022","ILR-2022-131-HYD.xml","5/11/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","78","4.9","1"
"384.1B79730415","ILR-2022-116-LEM.xml","4/26/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","4/26/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","4/27/2022","ILR-2022-117-LEM.xml","4/27/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","76","5.2","1"
"384.1B79730464","ILR-2022-129-HYD.xml","5/9/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/9/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/11/2022","ILR-2022-131-HYD.xml","5/11/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","73","3.9","1"
"384.1B797304C0","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/10/2022","ILR-2022-130-HYD.xml","5/10/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","78","4.7","1"
"384.1B797304EA","ILR-2020-287-HYD.xml","10/14/2020","HYDTRP - Hayden Creek Rotary Screw Trap","10/14/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","4/4/2021","ILR-2021-094-HYD.xml","4/4/2021","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","75","4.7","1"
"384.1B7973062D","ILR-2022-127-HYD.xml","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/12/2022","ILR-2022-132-HYD.xml","5/12/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","67","2.9","1"
"384.1B7973069A","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/9/2022","ILR-2022-129-HYD.xml","5/9/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","80","5.2","1"
"384.1B79730776","ILR-2022-148-LEM.xml","5/28/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","5/28/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/29/2022","ILR-2022-149-LEM.xml","5/29/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","68","3.4","1"
"384.1B797307CD","QCI-2019-175-LFA.xml","6/24/2019","LEMHIR - Lemhi River","6/24/2019","LEMHIR - Lemhi River","1","Chinook","1","Spring","W","Wild Fish or Natural Production","5/7/2020","ILR-2020-128-LLR.xml","5/7/2020","LLRTP - Lower Lemhi River Rotary Screw Trap","LLRTP - Lower Lemhi River Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","124","22.2","1"
"384.1B797307D0","ILR-2022-127-HYD.xml","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/10/2022","ILR-2022-130-HYD.xml","5/10/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","76","4.9","1"
"384.1B79730B48","ILR-2022-127-HYD.xml","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/8/2022","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","80","5.2","1"
