tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
384.1B79731CA1,HRSC-OUT,11,Observation,72,2022-06-03T05:42:45Z,2022-06-03T05:43:18Z,33,95605,26.556944444444444,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
384.1B79732035,HRSC-OUT,2,Observation,47138,2022-06-14T16:51:37Z,2022-07-22T20:59:42Z,3298085,2997890,832.7472222222223,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
384.1B7975A8C7,HRSC-MID,4,Observation,7,2021-10-07T14:48:24Z,2021-10-07T18:23:27Z,12903,18826,5.229444444444445,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
384.1B7975A8C7,HRSC-OUT,6,Observation,62,2022-05-26T21:03:04Z,2022-05-26T21:03:06Z,2,19967886,5546.635,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
384.1B7975A8C7,HRSC-OUT,7,Observation,97,2022-05-26T21:45:26Z,2022-05-26T21:45:30Z,4,2540,0.7055555555555556,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
384.1B7975A8C7,HRSC-OUT,8,Observation,89,2022-05-26T21:48:17Z,2022-05-26T21:49:56Z,99,167,0.04638888888888889,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
384.1B7976ABC3,HRSC-OUT,2,Observation,2792,2022-05-29T12:47:53Z,2022-05-29T19:02:32Z,22479,352788,97.99666666666667,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
384.1B7976ABC3,HRSC-OUT,3,Observation,124492,2022-06-01T07:39:57Z,2022-06-16T05:21:52Z,1287715,218245,60.62361111111111,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3D9.239F88BC3F,HRSC-MID,3,Observation,1,2022-04-11T11:11:44Z,2022-04-11T11:11:44Z,0,1921902,533.8616666666667,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3D9.239F88BC3F,HRSC-MID,4,Observation,1,2022-04-11T11:12:22Z,2022-04-11T11:12:22Z,0,38,0.010555555555555556,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3D9.239F88CD8C,HRSC-MID,2,Observation,1,2022-03-31T23:36:46Z,2022-03-31T23:36:46Z,0,14529223,4035.8952777777777,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3D9.239F88CD8C,HRSC-MID,3,Observation,1,2022-03-31T23:37:18Z,2022-03-31T23:37:18Z,0,32,0.008888888888888889,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3D9.239F88CE2A,HRSC-OUT,2,Observation,1,2022-04-02T20:21:56Z,2022-04-02T20:21:56Z,0,3981817,1106.0602777777779,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57DE61,HRSC-MID,5,Observation,70,2022-06-18T12:58:38Z,2022-06-18T12:58:40Z,2,1293261,359.2391666666667,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57DE61,HRSC-MID,6,Observation,395,2022-06-18T13:06:10Z,2022-06-18T13:08:31Z,141,450,0.125,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57DE61,HRSC-MID,7,Observation,499,2022-06-18T13:15:32Z,2022-06-18T13:28:39Z,787,421,0.11694444444444445,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57E041,HRSC-OUT,5,Observation,113,2022-05-04T22:49:46Z,2022-05-04T22:49:50Z,4,31870675,8852.965277777777,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,6,Observation,157,2022-05-04T23:51:07Z,2022-05-04T23:51:14Z,7,3677,1.021388888888889,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,7,Observation,176,2022-05-04T23:55:25Z,2022-05-04T23:55:31Z,6,251,0.06972222222222223,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,8,Observation,309,2022-05-05T00:44:27Z,2022-05-05T00:44:38Z,11,2936,0.8155555555555556,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,9,Observation,282,2022-05-05T01:38:35Z,2022-05-05T01:38:44Z,9,3237,0.8991666666666667,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,10,Observation,664,2022-05-05T01:41:39Z,2022-05-05T02:12:28Z,1849,175,0.04861111111111111,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,11,Observation,1007,2022-05-05T02:14:40Z,2022-05-05T02:20:45Z,365,132,0.03666666666666667,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,12,Observation,341,2022-05-05T02:24:07Z,2022-05-05T02:27:32Z,205,202,0.05611111111111111,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,13,Observation,745,2022-05-05T02:30:27Z,2022-05-05T04:00:23Z,5396,175,0.04861111111111111,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,14,Observation,178,2022-05-05T04:02:17Z,2022-05-05T04:02:23Z,6,114,0.03166666666666667,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57E041,HRSC-OUT,15,Observation,785,2022-05-05T20:18:22Z,2022-05-05T20:28:54Z,632,58559,16.26638888888889,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F3F0,HRSC-OUT,1,Observation,1,2021-10-13T18:59:16Z,2021-10-13T18:59:16Z,0,NA,NA,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F3F0,HRSC-OUT,2,Observation,1,2021-10-13T20:57:43Z,2021-10-13T20:57:43Z,0,7107,1.9741666666666666,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
