tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
384.1B79731CA1,HRSC-OUT,11,Observation,72,2022-06-03T05:42:45Z,2022-06-03T05:43:18Z,33,95605,26.556944444444444,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
384.1B79732035,HRSC-OUT,2,Observation,47138,2022-06-14T16:51:37Z,2022-07-22T20:59:42Z,3298085,2997890,832.7472222222223,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
384.1B7975A8C7,HRSC-OUT,8,Observation,89,2022-05-26T21:48:17Z,2022-05-26T21:49:56Z,99,167,0.04638888888888889,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
384.1B7976ABC3,HRSC-OUT,3,Observation,124492,2022-06-01T07:39:57Z,2022-06-16T05:21:52Z,1287715,218245,60.62361111111111,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3D9.239F88BC3F,HRSC-MID,4,Observation,1,2022-04-11T11:12:22Z,2022-04-11T11:12:22Z,0,38,0.010555555555555556,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3D9.239F88CD8C,HRSC-MID,3,Observation,1,2022-03-31T23:37:18Z,2022-03-31T23:37:18Z,0,32,0.008888888888888889,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3D9.239F88CE2A,HRSC-OUT,2,Observation,1,2022-04-02T20:21:56Z,2022-04-02T20:21:56Z,0,3981817,1106.0602777777779,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57DE61,HRSC-MID,7,Observation,499,2022-06-18T13:15:32Z,2022-06-18T13:28:39Z,787,421,0.11694444444444445,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57E041,HRSC-OUT,15,Observation,785,2022-05-05T20:18:22Z,2022-05-05T20:28:54Z,632,58559,16.26638888888889,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F3F0,HRSC-OUT,3,Observation,1,2021-10-14T06:26:12Z,2021-10-14T06:26:12Z,0,34109,9.474722222222223,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6A7,HRSC-OUT,37,Observation,1,2021-11-14T07:23:26Z,2021-11-14T07:23:26Z,0,2187,0.6075,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6D5,HRSC-OUT,2,Observation,2,2021-11-11T17:07:08Z,2021-11-11T17:08:08Z,60,2513481,698.1891666666667,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F82D,HRSC-OUT,2,Observation,1,2021-10-05T21:15:58Z,2021-10-05T21:15:58Z,0,24483,6.800833333333333,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F8A5,HRSC-OUT,2,Observation,1,2021-10-14T22:15:01Z,2021-10-14T22:15:01Z,0,189020,52.50555555555555,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F901,HRSC-OUT,2,Observation,1,2022-06-25T07:53:00Z,2022-06-25T07:53:00Z,0,21501574,5972.6594444444445,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FAB3,HRSC-OUT,3,Observation,28,2022-06-24T16:09:59Z,2022-06-24T16:10:00Z,1,6030,1.675,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FB16,HRSC-OUT,2,Observation,1,2021-10-20T07:21:54Z,2021-10-20T07:21:54Z,0,163216,45.33777777777778,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FB18,HRSC-OUT,2,Observation,1,2021-11-10T19:18:05Z,2021-11-10T19:18:05Z,0,2088437,580.1213888888889,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FB85,HRSC-OUT,25,Observation,1,2021-11-14T07:24:20Z,2021-11-14T07:24:20Z,0,58730,16.31388888888889,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FC72,HRSC-MID,9,Observation,22,2022-06-27T19:17:14Z,2022-07-02T18:36:47Z,429573,277,0.07694444444444444,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FF4E,HRSC-MID,7,Observation,6867,2022-06-16T10:31:18Z,2022-06-17T04:11:47Z,63629,111671,31.01972222222222,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FFA6,HRSC-MID,5,Observation,2,2021-11-23T21:01:04Z,2021-12-17T10:34:03Z,2035979,99,0.0275,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D58001D,HRSC-OUT,3,Observation,74,2022-06-12T04:59:20Z,2022-06-12T04:59:24Z,4,178,0.049444444444444444,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D58004A,HRSC-OUT,5,Observation,270,2022-05-05T02:47:12Z,2022-05-05T02:47:21Z,9,247,0.06861111111111111,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D5801D5,HRSC-OUT,3,Observation,1,2021-10-15T21:15:50Z,2021-10-15T21:15:50Z,0,4682,1.3005555555555555,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FD9AC,HRSC-OUT,5,Observation,1,2021-12-19T22:16:41Z,2021-12-19T22:16:41Z,0,4477,1.243611111111111,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FDBF0,HRSC-OUT,2,Observation,5,2021-09-05T02:32:12Z,2021-09-05T04:42:44Z,7832,659672,183.2422222222222,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE1A5,HRSC-OUT,2,Observation,1,2021-09-15T22:32:55Z,2021-09-15T22:32:55Z,0,16676,4.6322222222222225,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE21F,HRSC-OUT,9,Observation,1,2021-09-05T10:58:15Z,2021-09-05T10:58:15Z,0,163,0.04527777777777778,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
